Game,Quantity,Finished,Location,Console,Owner,Boxed,Digital,Unboxed,Sealed,Date Completed,Comments
.hack infection,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,, bonus disk
.hack liminality dvd vol 4,1,No,blue rack,PS2,Steven,,,Yes,,,bonus disk
.hack mutation,1,No,Steven’s Room,PS2,Steven,Yes,,,,,bonus disk
.hack outbreak ,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,bonus disk
.hack//Quarantine,1,No,Steven’s Room,PS2,Steven,Yes,,,,,Had Yes and no in boxed (I think I have 2 copies one unboxed)
18 wheeler,1,No,blue rack,Gamecube,Shared,,,Yes,,,
198X,1,Yes,,PC,Steven,,Yes,,,11/02/2020 12:00:00,Fun but way too short 
3D Dot Heros,1,No,Steven’s Room,PS3,Thomas,Yes,,,,,
7 in one collection (oni + sum of all fears),1,No,drawer,PC,Shared,,,Yes,,,
99 nights,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
A fisherman's tale,1,Yes,,Oculus Quest,Steven,,Yes,,,27/03/2021 15:08:00,Fun vr story kinda short
A Way Out,0,Yes,,Xbox One,Steven,,Yes,,,6/12/2020 18:44:00,"played with tom, I won as Leo. Fun game and story"
Ace combat 6,1,No,Steven’s Room,360,Steven,Yes,,,,,
Ace Combat 7,0,Yes,,Xbox One,Steven,,Yes,,,16/04/2020 16:11:00,It's good but I wonder if the story makes more sense if you play the others
Ace combat assault horizon,1,No,Steven’s Room,PS3,Steven,Yes,,,,,
Advance wars,1,No,Tom's Room,Game Boy Advance,Thomas,,,Yes,,,
Advance wars dual strike,1,No,Tom's Room,DS,Steven,Yes,,,,,
Agarest Generations of War,1,No,Steven’s Room,PS3,Thomas,Yes,,,,,
Agarest Generations of War zero,1,No,Steven’s Room,PS3,Thomas,Yes,,,,,
age of empires 3,1,No,Steven’s Room,PC,Steven,Yes,,,,,
Agents of mayhem,1,Yes,,Xbox One,Steven,,Yes,,,2/4/2021 12:02:00,Better in 60 frames on series x
Alex Kid in Shonobi world,1,No,drawer,Master System,Shared,Yes,,,,,
alien hominid signature edition,1,No,Tom's Room,PS2,"Thomas
",,,,,,
anna kournikova smash court tennis,1,No,blue rack,PS1,Thomas,,,Yes,,,
Another Code R - a journey to lost memories,1,No,Tom's Room,Wii,Thomas,Yes,,,Yes,,
ape escape,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
Ape Escape 2,1,No,Steven’s Room,PS2,"Steven
",Yes,,,,,
ape escape 3,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
ape escape on the loose,1,No,Steven’s Room,PSP,Steven,Yes,,,,,
Ape Out,0,Yes,,PC,Steven,,Yes,,,6/2/2020 9:40:00,"It was fine, one set was probably enough. Good style though"
ar tonelico 2 melody of metafalica,1,No,Tom's Room,PS2,Thomas,,,,,,
Ar Tonelico Qoga Knell of Ar Cell,1,No,Steven’s Room,PS3,Thomas,Yes,,,,,
arc twilight of the spirits,1,No,Tom's Room,PS2,Thomas,,,,,,
arcana hearts 3 limited edition,1,No,Tom's Room,360,Thomas,,,,,,
armored core,2,No,Steven’s Room,PS1,Shared,Yes,,,,,
Armored Core 4,1,No,Steven’s Room,360,Steven,Yes,,,,,
Armored Core 5,1,No,Steven’s Room,360,Steven,Yes,,,,,
Armored core for answer,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
armored fist 3,1,No,drawer,PC,Steven,,,Yes,,,
Ashes Cricket 2017,1,No,Steven’s Room,Xbox One,Steven,Yes,,,,,
Assassin's creed rogue,1,Yes,,Steam,Steven,,Yes,,,5/1/2019 18:06:00,"Mainlined it, enjoyed the links to other games "
Assassins creed origins,1,Yes,,PC,Steven,,Yes,,,26/03/2020 23:06:00,"The game that never ends, ended. God I still have the dlc to play "
atelier iris 2 - the azoth of destiny,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Atelier Rorona: Collection,1,No,Steven’s Room,PS3,Thomas,Yes,,,,,
band hero,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Bangio,1,Yes,Steven’s Room,Dreamcast,Thomas,Yes,,,,,
Banjo Kazooie,1,No,Steven’s Room,N64,Steven,,,Yes,,,
Banjo Kazooie nuts and bolts,1,No,Steven’s Room,360,Steven,Yes,,,,,
BAROQUE,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
baten kaitos,1,No,Tom's Room,Gamecube,"Shared
",,,,,,
battalion wars,1,Yes,Steven’s Room,Gamecube,Steven,Yes,,,,,
battalion wars 2,1,No,Steven’s Room,Wii,Steven,Yes,,,,,
